Genero;Vehiculo;Propiedad;Hijos;Ingresos_Anuales;Categoria_Ingresos;Nivel_Educacion;Estado Civil;Tipo_Vivienda;Edad;Empleo;Tamano_Familia;Estado
M;Y;Y; - ; 112.500 ;Commercial associate;Secondary / secondary special;Married;House / apartment;56;N; 2 ;0
M;Y;Y; - ; 112.500 ;Commercial associate;Secondary / secondary special;Married;House / apartment;56;N; 2 ;0
M;Y;Y; - ; 112.500 ;Commercial associate;Secondary / secondary special;Married;House / apartment;56;N; 2 ;0
M;Y;Y; - ; 112.500 ;Commercial associate;Secondary / secondary special;Married;House / apartment;56;N; 2 ;6
F;Y;Y; 2 ; 135.000 ;Working;Secondary / secondary special;Married;House / apartment;44;N; 4 ;0
F;Y;Y; 2 ; 135.000 ;Working;Secondary / secondary special;Married;House / apartment;44;N; 4 ;6
F;Y;Y; 2 ; 135.000 ;Working;Secondary / secondary special;Married;House / apartment;44;N; 4 ;0
F;Y;Y; 2 ; 135.000 ;Working;Secondary / secondary special;Married;House / apartment;44;N; 4 ;7
F;Y;Y; 2 ; 135.000 ;Working;Secondary / secondary special;Married;House / apartment;44;N; 4 ;6
F;Y;Y; 2 ; 135.000 ;Working;Secondary / secondary special;Married;House / apartment;44;N; 4 ;0
F;Y;Y; 2 ; 135.000 ;Working;Secondary / secondary special;Married;House / apartment;44;N; 4 ;0
F;Y;Y; 2 ; 135.000 ;Working;Secondary / secondary special;Married;House / apartment;44;N; 4 ;0
F;Y;Y; 2 ; 135.000 ;Working;Secondary / secondary special;Married;House / apartment;44;N; 4 ;0
F;Y;Y; 2 ; 135.000 ;Working;Secondary / secondary special;Married;House / apartment;44;N; 4 ;0
F;Y;Y; 2 ; 135.000 ;Working;Secondary / secondary special;Married;House / apartment;44;N; 4 ;0
F;Y;Y; 2 ; 135.000 ;Working;Secondary / secondary special;Married;House / apartment;44;N; 4 ;0
F;Y;Y; 2 ; 135.000 ;Working;Secondary / secondary special;Married;House / apartment;44;N; 4 ;0
F;Y;Y; 2 ; 135.000 ;Working;Secondary / secondary special;Married;House / apartment;44;N; 4 ;7
F;Y;Y; 2 ; 135.000 ;Working;Secondary / secondary special;Married;House / apartment;44;N; 4 ;6
F;N;Y; 1 ; 211.500 ;State servant;Secondary / secondary special;Civil marriage;House / apartment;45;N; 3 ;0
F;N;Y; 1 ; 211.500 ;State servant;Secondary / secondary special;Civil marriage;House / apartment;45;N; 3 ;0
M;Y;Y; - ; 360.000 ;Commercial associate;Secondary / secondary special;Married;House / apartment;46;N; 2 ;0
F;N;Y; 2 ; 126.000 ;Commercial associate;Higher education;Married;House / apartment;34;N; 4 ;6
F;N;Y; 2 ; 126.000 ;Commercial associate;Higher education;Married;House / apartment;34;N; 4 ;6
F;N;Y; 2 ; 126.000 ;Commercial associate;Higher education;Married;House / apartment;34;N; 4 ;6
F;N;Y; 2 ; 126.000 ;Commercial associate;Higher education;Married;House / apartment;34;N; 4 ;6
F;N;Y; 2 ; 126.000 ;Commercial associate;Higher education;Married;House / apartment;34;N; 4 ;6
F;N;Y; 2 ; 126.000 ;Commercial associate;Higher education;Married;House / apartment;34;N; 4 ;1
F;N;Y; 2 ; 126.000 ;Commercial associate;Higher education;Married;House / apartment;34;N; 4 ;6
F;N;Y; 2 ; 126.000 ;Commercial associate;Higher education;Married;House / apartment;34;N; 4 ;6
F;N;Y; 2 ; 126.000 ;Commercial associate;Higher education;Married;House / apartment;34;N; 4 ;6
F;N;Y; 2 ; 126.000 ;Commercial associate;Higher education;Married;House / apartment;34;N; 4 ;6
F;N;Y; - ; 315.000 ;Pensioner;Secondary / secondary special;Widow;House / apartment;56;Y; 1 ;6
F;N;Y; - ; 247.500 ;Commercial associate;Higher education;Separated;Rented apartment;47;N; 1 ;7
F;N;Y; - ; 247.500 ;Commercial associate;Higher education;Separated;Rented apartment;47;N; 1 ;0
F;N;Y; - ; 247.500 ;Commercial associate;Higher education;Separated;Rented apartment;47;N; 1 ;7
F;N;Y; - ; 247.500 ;Commercial associate;Higher education;Separated;Rented apartment;47;N; 1 ;7
F;N;Y; - ; 297.000 ;Commercial associate;Secondary / secondary special;Single / not married;Rented apartment;43;N; 1 ;6
F;N;Y; - ; 297.000 ;Commercial associate;Secondary / secondary special;Single / not married;Rented apartment;43;N; 1 ;6
F;N;Y; - ; 297.000 ;Commercial associate;Secondary / secondary special;Single / not married;Rented apartment;43;N; 1 ;6
F;N;Y; - ; 297.000 ;Commercial associate;Secondary / secondary special;Single / not married;Rented apartment;43;N; 1 ;6
F;N;Y; - ; 297.000 ;Commercial associate;Secondary / secondary special;Single / not married;Rented apartment;43;N; 1 ;6
F;N;Y; - ; 297.000 ;Commercial associate;Secondary / secondary special;Single / not married;Rented apartment;43;N; 1 ;6
F;N;Y; - ; 297.000 ;Commercial associate;Secondary / secondary special;Single / not married;Rented apartment;43;N; 1 ;6
F;N;Y; - ; 297.000 ;Commercial associate;Secondary / secondary special;Single / not married;Rented apartment;43;N; 1 ;6
F;N;Y; - ; 297.000 ;Commercial associate;Secondary / secondary special;Single / not married;Rented apartment;43;N; 1 ;6
F;N;Y; - ; 297.000 ;Commercial associate;Secondary / secondary special;Single / not married;Rented apartment;43;N; 1 ;6
F;N;Y; - ; 297.000 ;Commercial associate;Secondary / secondary special;Single / not married;Rented apartment;43;N; 1 ;6
F;N;Y; - ; 297.000 ;Commercial associate;Secondary / secondary special;Single / not married;Rented apartment;43;N; 1 ;6
F;N;Y; - ; 297.000 ;Commercial associate;Secondary / secondary special;Single / not married;Rented apartment;43;N; 1 ;6
F;N;Y; - ; 297.000 ;Commercial associate;Secondary / secondary special;Single / not married;Rented apartment;43;N; 1 ;6
F;N;Y; - ; 297.000 ;Commercial associate;Secondary / secondary special;Single / not married;Rented apartment;43;N; 1 ;6
F;N;Y; - ; 297.000 ;Commercial associate;Secondary / secondary special;Single / not married;Rented apartment;43;N; 1 ;6
F;N;Y; - ; 297.000 ;Commercial associate;Secondary / secondary special;Single / not married;Rented apartment;43;N; 1 ;6
F;N;Y; - ; 297.000 ;Commercial associate;Secondary / secondary special;Single / not married;Rented apartment;43;N; 1 ;6
F;N;Y; - ; 297.000 ;Commercial associate;Secondary / secondary special;Single / not married;Rented apartment;43;N; 1 ;6
F;N;Y; - ; 297.000 ;Commercial associate;Secondary / secondary special;Single / not married;Rented apartment;43;N; 1 ;6
F;N;Y; - ; 297.000 ;Commercial associate;Secondary / secondary special;Single / not married;Rented apartment;43;N; 1 ;6
F;N;Y; - ; 297.000 ;Commercial associate;Secondary / secondary special;Single / not married;Rented apartment;43;N; 1 ;6
F;N;Y; - ; 297.000 ;Commercial associate;Secondary / secondary special;Single / not married;Rented apartment;43;N; 1 ;6
F;N;Y; - ; 297.000 ;Commercial associate;Secondary / secondary special;Single / not married;Rented apartment;43;N; 1 ;6
F;N;Y; - ; 297.000 ;Commercial associate;Secondary / secondary special;Single / not married;Rented apartment;43;N; 1 ;6
F;N;Y; - ; 297.000 ;Commercial associate;Secondary / secondary special;Single / not married;Rented apartment;43;N; 1 ;6
F;N;Y; - ; 297.000 ;Commercial associate;Secondary / secondary special;Single / not married;Rented apartment;43;N; 1 ;6
F;N;Y; - ; 297.000 ;Commercial associate;Secondary / secondary special;Single / not married;Rented apartment;43;N; 1 ;6
F;N;Y; - ; 297.000 ;Commercial associate;Secondary / secondary special;Single / not married;Rented apartment;43;N; 1 ;6
F;N;Y; - ; 297.000 ;Commercial associate;Secondary / secondary special;Single / not married;Rented apartment;43;N; 1 ;6
F;N;Y; - ; 297.000 ;Commercial associate;Secondary / secondary special;Single / not married;Rented apartment;43;N; 1 ;6
F;N;Y; - ; 297.000 ;Commercial associate;Secondary / secondary special;Single / not married;Rented apartment;43;N; 1 ;6
F;N;Y; - ; 297.000 ;Commercial associate;Secondary / secondary special;Single / not married;Rented apartment;43;N; 1 ;6
F;N;Y; - ; 297.000 ;Commercial associate;Secondary / secondary special;Single / not married;Rented apartment;43;N; 1 ;6
F;N;Y; - ; 297.000 ;Commercial associate;Secondary / secondary special;Single / not married;Rented apartment;43;N; 1 ;6
F;N;Y; - ; 297.000 ;Commercial associate;Secondary / secondary special;Single / not married;Rented apartment;43;N; 1 ;0
F;N;Y; - ; 297.000 ;Commercial associate;Secondary / secondary special;Single / not married;Rented apartment;43;N; 1 ;6
F;N;Y; - ; 297.000 ;Commercial associate;Secondary / secondary special;Single / not married;Rented apartment;43;N; 1 ;1
F;N;Y; - ; 297.000 ;Commercial associate;Secondary / secondary special;Single / not married;Rented apartment;43;N; 1 ;6
F;N;Y; - ; 297.000 ;Commercial associate;Secondary / secondary special;Single / not married;Rented apartment;43;N; 1 ;0
F;N;Y; - ; 297.000 ;Commercial associate;Secondary / secondary special;Single / not married;Rented apartment;43;N; 1 ;6
F;N;Y; - ; 297.000 ;Commercial associate;Secondary / secondary special;Single / not married;Rented apartment;43;N; 1 ;0
F;N;Y; - ; 297.000 ;Commercial associate;Secondary / secondary special;Single / not married;Rented apartment;43;N; 1 ;6
F;N;Y; - ; 297.000 ;Commercial associate;Secondary / secondary special;Single / not married;Rented apartment;43;N; 1 ;6
F;N;Y; - ; 297.000 ;Commercial associate;Secondary / secondary special;Single / not married;Rented apartment;43;N; 1 ;6
F;N;Y; - ; 297.000 ;Commercial associate;Secondary / secondary special;Single / not married;Rented apartment;43;N; 1 ;6
F;N;Y; - ; 297.000 ;Commercial associate;Secondary / secondary special;Single / not married;Rented apartment;43;N; 1 ;6
F;N;Y; - ; 297.000 ;Commercial associate;Secondary / secondary special;Single / not married;Rented apartment;43;N; 1 ;6
F;N;Y; - ; 297.000 ;Commercial associate;Secondary / secondary special;Single / not married;Rented apartment;43;N; 1 ;6
F;N;Y; - ; 297.000 ;Commercial associate;Secondary / secondary special;Single / not married;Rented apartment;43;N; 1 ;6
F;N;Y; - ; 297.000 ;Commercial associate;Secondary / secondary special;Single / not married;Rented apartment;43;N; 1 ;6
F;N;N; - ; 157.500 ;Commercial associate;Higher education;Married;House / apartment;38;N; 2 ;7
F;N;N; - ; 157.500 ;Commercial associate;Higher education;Married;House / apartment;38;N; 2 ;7
F;N;N; - ; 157.500 ;Commercial associate;Higher education;Married;House / apartment;38;N; 2 ;7
F;N;N; - ; 157.500 ;Commercial associate;Higher education;Married;House / apartment;38;N; 2 ;7
F;N;N; - ; 157.500 ;Commercial associate;Higher education;Married;House / apartment;38;N; 2 ;7
M;N;Y; - ; 135.000 ;Working;Secondary / secondary special;Married;House / apartment;43;N; 2 ;7
M;N;Y; - ; 135.000 ;Working;Secondary / secondary special;Married;House / apartment;43;N; 2 ;7
M;N;Y; - ; 135.000 ;Working;Secondary / secondary special;Married;House / apartment;43;N; 2 ;7
M;N;Y; - ; 135.000 ;Working;Secondary / secondary special;Married;House / apartment;43;N; 2 ;7
M;N;Y; 1 ; 225.000 ;Working;Secondary / secondary special;Married;House / apartment;29;N; 3 ;6
M;N;Y; 1 ; 225.000 ;Working;Secondary / secondary special;Married;House / apartment;29;N; 3 ;7
M;N;Y; 1 ; 225.000 ;Working;Secondary / secondary special;Married;House / apartment;29;N; 3 ;7
M;N;Y; 1 ; 225.000 ;Working;Secondary / secondary special;Married;House / apartment;29;N; 3 ;0
F;Y;Y; - ; 135.000 ;Working;Secondary / secondary special;Married;House / apartment;49;N; 2 ;0
F;Y;Y; - ; 135.000 ;Working;Secondary / secondary special;Married;House / apartment;49;N; 2 ;6
F;Y;Y; - ; 135.000 ;Working;Secondary / secondary special;Married;House / apartment;49;N; 2 ;6
F;Y;Y; - ; 135.000 ;Working;Secondary / secondary special;Married;House / apartment;49;N; 2 ;0
F;Y;Y; - ; 135.000 ;Working;Secondary / secondary special;Married;House / apartment;49;N; 2 ;6
F;Y;Y; - ; 135.000 ;Working;Secondary / secondary special;Married;House / apartment;49;N; 2 ;6
F;Y;Y; - ; 135.000 ;Working;Secondary / secondary special;Married;House / apartment;49;N; 2 ;6
F;Y;Y; - ; 135.000 ;Working;Secondary / secondary special;Married;House / apartment;49;N; 2 ;6
M;N;Y; - ; 157.500 ;Working;Secondary / secondary special;Married;House / apartment;44;N; 2 ;0
M;N;Y; - ; 157.500 ;Working;Secondary / secondary special;Married;House / apartment;44;N; 2 ;0
M;N;Y; - ; 157.500 ;Working;Secondary / secondary special;Married;House / apartment;44;N; 2 ;0
M;N;Y; - ; 157.500 ;Working;Secondary / secondary special;Married;House / apartment;44;N; 2 ;0
F;N;Y; - ; 112.500 ;Pensioner;Secondary / secondary special;Married;House / apartment;61;Y; 2 ;0
F;N;Y; - ; 112.500 ;Pensioner;Secondary / secondary special;Married;House / apartment;61;Y; 2 ;7
F;N;Y; - ; 112.500 ;Pensioner;Secondary / secondary special;Married;House / apartment;61;Y; 2 ;0
F;N;Y; - ; 112.500 ;Pensioner;Secondary / secondary special;Married;House / apartment;61;Y; 2 ;0
F;N;Y; - ; 112.500 ;Pensioner;Secondary / secondary special;Married;House / apartment;61;Y; 2 ;7
F;N;Y; - ; 112.500 ;Pensioner;Secondary / secondary special;Married;House / apartment;61;Y; 2 ;6
F;N;Y; - ; 112.500 ;Pensioner;Secondary / secondary special;Married;House / apartment;61;Y; 2 ;6
M;Y;Y; - ; 112.500 ;State servant;Secondary / secondary special;Married;House / apartment;58;N; 2 ;7
M;Y;Y; - ; 112.500 ;State servant;Secondary / secondary special;Married;House / apartment;58;N; 2 ;7
M;Y;Y; - ; 112.500 ;State servant;Secondary / secondary special;Married;House / apartment;58;N; 2 ;6
M;Y;Y; - ; 112.500 ;State servant;Secondary / secondary special;Married;House / apartment;58;N; 2 ;7
M;Y;Y; - ; 112.500 ;State servant;Secondary / secondary special;Married;House / apartment;58;N; 2 ;6
M;Y;Y; - ; 112.500 ;State servant;Secondary / secondary special;Married;House / apartment;58;N; 2 ;7
F;Y;Y; - ; 270.000 ;Working;Secondary / secondary special;Separated;House / apartment;46;N; 1 ;7
F;Y;Y; - ; 270.000 ;Working;Secondary / secondary special;Separated;House / apartment;46;N; 1 ;6
F;Y;Y; - ; 270.000 ;Working;Secondary / secondary special;Separated;House / apartment;46;N; 1 ;0
F;Y;Y; - ; 270.000 ;Working;Secondary / secondary special;Separated;House / apartment;46;N; 1 ;0
F;Y;Y; - ; 270.000 ;Working;Secondary / secondary special;Separated;House / apartment;46;N; 1 ;7
F;Y;Y; - ; 270.000 ;Working;Secondary / secondary special;Separated;House / apartment;46;N; 1 ;7
F;Y;Y; - ; 270.000 ;Working;Higher education;Married;House / apartment;29;N; 2 ;7
F;Y;Y; - ; 270.000 ;Working;Higher education;Married;House / apartment;29;N; 2 ;7
M;Y;Y; - ; 157.500 ;Working;Secondary / secondary special;Married;House / apartment;28;N; 2 ;6
M;N;Y; - ; 166.500 ;Working;Secondary / secondary special;Married;House / apartment;52;N; 2 ;7
M;N;Y; - ; 166.500 ;Working;Secondary / secondary special;Married;House / apartment;52;N; 2 ;7
M;N;Y; - ; 166.500 ;Working;Secondary / secondary special;Married;House / apartment;52;N; 2 ;7
M;N;Y; - ; 166.500 ;Working;Secondary / secondary special;Married;House / apartment;52;N; 2 ;7
M;N;Y; - ; 166.500 ;Working;Secondary / secondary special;Married;House / apartment;52;N; 2 ;7
M;N;Y; - ; 166.500 ;Working;Secondary / secondary special;Married;House / apartment;52;N; 2 ;7
M;N;Y; - ; 166.500 ;Working;Secondary / secondary special;Married;House / apartment;52;N; 2 ;7
M;N;Y; - ; 166.500 ;Working;Secondary / secondary special;Married;House / apartment;52;N; 2 ;7
M;N;Y; - ; 166.500 ;Working;Secondary / secondary special;Married;House / apartment;52;N; 2 ;0
M;N;Y; - ; 166.500 ;Working;Secondary / secondary special;Married;House / apartment;52;N; 2 ;7
F;N;Y; 2 ; 216.000 ;State servant;Higher education;Married;House / apartment;43;N; 4 ;6
F;N;Y; 2 ; 216.000 ;State servant;Higher education;Married;House / apartment;43;N; 4 ;6
F;N;Y; 2 ; 216.000 ;State servant;Higher education;Married;House / apartment;43;N; 4 ;0
F;N;Y; 2 ; 216.000 ;State servant;Higher education;Married;House / apartment;43;N; 4 ;6
F;N;Y; 2 ; 216.000 ;State servant;Higher education;Married;House / apartment;43;N; 4 ;6
F;N;Y; 2 ; 216.000 ;State servant;Higher education;Married;House / apartment;43;N; 4 ;6
F;N;Y; 2 ; 216.000 ;State servant;Higher education;Married;House / apartment;43;N; 4 ;6
F;N;Y; 2 ; 216.000 ;State servant;Higher education;Married;House / apartment;43;N; 4 ;6
F;Y;Y; - ; 270.000 ;Commercial associate;Secondary / secondary special;Married;House / apartment;55;N; 2 ;0
F;Y;Y; - ; 270.000 ;Commercial associate;Secondary / secondary special;Married;House / apartment;55;N; 2 ;6
F;Y;Y; - ; 225.000 ;Commercial associate;Secondary / secondary special;Married;House / apartment;40;N; 2 ;7
F;Y;Y; - ; 225.000 ;Commercial associate;Secondary / secondary special;Married;House / apartment;40;N; 2 ;6
F;N;Y; - ; 315.000 ;Working;Secondary / secondary special;Single / not married;House / apartment;29;N; 1 ;6
F;N;Y; - ; 315.000 ;Working;Secondary / secondary special;Single / not married;House / apartment;29;N; 1 ;6
F;N;N; - ; 255.150 ;Pensioner;Incomplete higher;Civil marriage;Rented apartment;52;Y; 2 ;7
F;N;N; - ; 255.150 ;Pensioner;Incomplete higher;Civil marriage;Rented apartment;52;Y; 2 ;6
F;N;N; - ; 255.150 ;Pensioner;Incomplete higher;Civil marriage;Rented apartment;52;Y; 2 ;7
F;N;N; - ; 255.150 ;Pensioner;Incomplete higher;Civil marriage;Rented apartment;52;Y; 2 ;6
F;N;N; - ; 255.150 ;Pensioner;Incomplete higher;Civil marriage;Rented apartment;52;Y; 2 ;7
F;N;N; - ; 255.150 ;Pensioner;Incomplete higher;Civil marriage;Rented apartment;52;Y; 2 ;7
F;N;Y; 2 ; 157.500 ;Working;Secondary / secondary special;Single / not married;House / apartment;40;N; 3 ;6
F;N;Y; 2 ; 157.500 ;Working;Secondary / secondary special;Single / not married;House / apartment;40;N; 3 ;6
F;N;Y; - ; 148.500 ;Working;Higher education;Married;House / apartment;49;N; 2 ;7
F;N;Y; - ; 148.500 ;Working;Higher education;Married;House / apartment;49;N; 2 ;7
F;N;Y; - ; 148.500 ;Working;Higher education;Married;House / apartment;49;N; 2 ;7
F;N;Y; - ; 148.500 ;Working;Higher education;Married;House / apartment;49;N; 2 ;7
F;N;Y; - ; 148.500 ;Working;Higher education;Married;House / apartment;49;N; 2 ;0
F;N;Y; - ; 148.500 ;Working;Higher education;Married;House / apartment;49;N; 2 ;0
F;N;Y; 2 ; 202.500 ;Working;Higher education;Married;House / apartment;30;N; 4 ;6
F;N;Y; 2 ; 202.500 ;Working;Higher education;Married;House / apartment;30;N; 4 ;6
F;N;Y; 2 ; 202.500 ;Working;Higher education;Married;House / apartment;30;N; 4 ;6
F;N;Y; 2 ; 202.500 ;Working;Higher education;Married;House / apartment;30;N; 4 ;6
F;N;Y; 2 ; 202.500 ;Working;Higher education;Married;House / apartment;30;N; 4 ;7
M;N;Y; - ; 202.500 ;Working;Secondary / secondary special;Single / not married;House / apartment;25;N; 1 ;0
M;N;Y; - ; 202.500 ;Working;Secondary / secondary special;Single / not married;House / apartment;25;N; 1 ;0
F;Y;Y; - ; 112.500 ;Commercial associate;Secondary / secondary special;Single / not married;House / apartment;21;N; 1 ;7
F;N;Y; - ; 94.500 ;Pensioner;Higher education;Married;House / apartment;61;Y; 2 ;0
M;Y;Y; - ; 315.000 ;Working;Secondary / secondary special;Civil marriage;House / apartment;29;N; 2 ;6
M;Y;Y; - ; 315.000 ;Working;Secondary / secondary special;Civil marriage;House / apartment;29;N; 2 ;6
M;Y;Y; - ; 315.000 ;Working;Secondary / secondary special;Civil marriage;House / apartment;29;N; 2 ;7
M;Y;Y; - ; 315.000 ;Working;Secondary / secondary special;Civil marriage;House / apartment;29;N; 2 ;7
M;Y;Y; - ; 315.000 ;Working;Secondary / secondary special;Civil marriage;House / apartment;29;N; 2 ;0
M;Y;Y; - ; 315.000 ;Working;Secondary / secondary special;Civil marriage;House / apartment;29;N; 2 ;7
M;Y;Y; - ; 315.000 ;Working;Secondary / secondary special;Civil marriage;House / apartment;29;N; 2 ;6
M;Y;Y; - ; 315.000 ;Working;Secondary / secondary special;Civil marriage;House / apartment;29;N; 2 ;6
M;Y;Y; - ; 315.000 ;Working;Secondary / secondary special;Civil marriage;House / apartment;29;N; 2 ;6
F;Y;Y; - ; 270.000 ;Commercial associate;Incomplete higher;Civil marriage;Municipal apartment;28;N; 2 ;6
F;Y;Y; - ; 270.000 ;Commercial associate;Incomplete higher;Civil marriage;Municipal apartment;28;N; 2 ;6
F;Y;Y; 1 ; 450.000 ;State servant;Higher education;Married;House / apartment;49;N; 3 ;0
F;Y;Y; 1 ; 450.000 ;State servant;Higher education;Married;House / apartment;49;N; 3 ;7
M;N;Y; 1 ; 180.000 ;Working;Secondary / secondary special;Married;With parents;39;N; 3 ;6
F;N;Y; - ; 112.500 ;Working;Higher education;Civil marriage;House / apartment;28;N; 2 ;6
F;N;Y; - ; 112.500 ;Working;Higher education;Civil marriage;House / apartment;28;N; 2 ;6
F;N;Y; - ; 112.500 ;Working;Higher education;Civil marriage;House / apartment;28;N; 2 ;7
M;N;Y; - ; 90.000 ;Working;Secondary / secondary special;Married;House / apartment;57;N; 2 ;6
M;N;Y; - ; 90.000 ;Working;Secondary / secondary special;Married;House / apartment;57;N; 2 ;0
M;Y;N; 2 ; 202.500 ;Commercial associate;Higher education;Married;House / apartment;41;N; 4 ;7
M;Y;N; 2 ; 202.500 ;Commercial associate;Higher education;Married;House / apartment;41;N; 4 ;0
M;Y;Y; - ; 247.500 ;Working;Secondary / secondary special;Married;House / apartment;35;N; 2 ;0
M;Y;Y; 1 ; 765.000 ;Working;Higher education;Married;House / apartment;34;N; 3 ;1
M;Y;Y; 1 ; 765.000 ;Working;Higher education;Married;House / apartment;34;N; 3 ;0
M;Y;Y; 1 ; 765.000 ;Working;Higher education;Married;House / apartment;34;N; 3 ;0
F;N;Y; 1 ; 270.000 ;Commercial associate;Secondary / secondary special;Married;House / apartment;38;N; 3 ;6
F;N;Y; 1 ; 270.000 ;Commercial associate;Secondary / secondary special;Married;House / apartment;38;N; 3 ;7
F;N;Y; 1 ; 270.000 ;Commercial associate;Secondary / secondary special;Married;House / apartment;38;N; 3 ;6
F;N;Y; - ; 315.000 ;Working;Higher education;Separated;House / apartment;37;N; 1 ;7
F;N;Y; - ; 315.000 ;Working;Higher education;Separated;House / apartment;37;N; 1 ;7
M;Y;Y; 2 ; 157.500 ;Working;Secondary / secondary special;Married;With parents;36;N; 4 ;6
M;Y;Y; 2 ; 157.500 ;Working;Secondary / secondary special;Married;With parents;36;N; 4 ;7
M;Y;Y; 2 ; 157.500 ;Working;Secondary / secondary special;Married;With parents;36;N; 4 ;7
M;Y;Y; 2 ; 157.500 ;Working;Secondary / secondary special;Married;With parents;36;N; 4 ;7
M;Y;Y; 2 ; 157.500 ;Working;Secondary / secondary special;Married;With parents;36;N; 4 ;6
M;N;Y; - ; 360.000 ;Commercial associate;Secondary / secondary special;Married;House / apartment;42;N; 2 ;0
M;N;Y; - ; 360.000 ;Commercial associate;Secondary / secondary special;Married;House / apartment;42;N; 2 ;6
F;N;Y; - ; 112.500 ;Commercial associate;Higher education;Married;House / apartment;25;N; 2 ;0
F;N;N; - ; 157.500 ;Commercial associate;Higher education;Separated;With parents;43;N; 1 ;6
F;N;N; - ; 157.500 ;Commercial associate;Higher education;Separated;With parents;43;N; 1 ;6
F;N;N; - ; 157.500 ;Commercial associate;Higher education;Separated;With parents;43;N; 1 ;6
F;N;N; - ; 157.500 ;Commercial associate;Higher education;Separated;With parents;43;N; 1 ;6
